Subject,Accuracy,Precision,Recall,Specificity,F1-score,Kappa
A01T,53.5,100.0,6.9,100.0,12.91,106.00
A02T,53.5,53.2,56.9,50.0,54.99,106.00
A03T,58.3,100.0,16.7,100.0,28.62,115.60
A04T,55.6,62.5,27.8,83.3,38.48,110.20
A05T,51.4,62.5,6.9,95.8,12.43,101.80
A06T,60.4,56.1,95.8,25.0,70.76,119.80
A07T,62.5,82.1,31.9,93.1,45.95,124.00
A08T,56.9,54.7,80.6,33.3,65.17,112.80
A09T,59.7,60.0,58.3,61.1,59.14,118.40
ds1b,51.5,50.8,98.0,5.0,66.91,102.00
ds1c,50.0,0.0,0.0,100.0,0.00,99.00
ds1g,62.0,58.1,86.0,38.0,69.35,123.00
Avg.,54.1,59.1,47.1,62.5,43.50,107.26
Std.,10.4,24.8,32.8,32.2,22.63,20.52
