Subject,Accuracy,Precision,Recall,Specificity,F1-score,Kappa
A01T,79.2,71.9,95.8,62.5,82.15,157.40
A02T,44.4,43.8,38.9,50.0,41.20,87.80
A03T,63.9,100.0,27.8,100.0,43.51,126.80
A04T,53.5,51.8,100.0,6.9,68.25,106.00
A05T,49.3,0.0,0.0,98.6,0.00,97.60
A06T,58.3,59.4,52.8,63.9,55.91,115.60
A07T,61.1,62.1,56.9,65.3,59.39,121.20
A08T,77.1,69.3,97.2,56.9,80.91,153.20
A09T,61.1,58.0,80.6,41.7,67.46,121.20
ds1b,51.0,50.5,99.0,3.0,66.88,101.00
ds1c,50.5,53.8,7.0,94.0,12.39,100.00
ds1g,81.0,78.2,86.0,76.0,81.91,161.00
Avg.,60.9,58.2,61.8,59.9,55.00,120.73
Std.,11.4,21.8,33.7,29.2,24.48,22.77
