Subject,Accuracy,Precision,Recall,Specificity,F1-score,Kappa
A01T,88.9,85.9,93.1,84.7,89.36,176.80
A02T,47.9,48.5,65.3,30.6,55.66,94.80
A03T,70.1,100.0,40.3,100.0,57.45,139.20
A04T,62.5,57.5,95.8,29.2,71.87,124.00
A05T,54.9,66.7,19.4,90.3,30.06,108.80
A06T,69.4,63.2,93.1,45.8,75.29,137.80
A07T,70.8,72.1,68.1,73.6,70.04,140.60
A08T,95.1,92.2,98.6,91.7,95.29,189.20
A09T,59.0,61.0,50.0,68.1,54.95,117.00
ds1b,64.5,64.1,66.0,63.0,65.04,128.00
ds1c,49.5,0.0,0.0,99.0,0.00,98.00
ds1g,80.0,72.1,98.0,62.0,83.08,159.00
Avg.,63.2,61.4,63.1,65.9,59.05,125.53
Std.,18.8,25.7,30.2,24.3,25.2,37.44
