Subject,Accuracy,Precision,Recall,Specificity,F1-score,Kappa
A01T,66.0,75.6,47.2,84.7,58.12,131.00
A02T,46.5,46.2,41.7,51.4,43.83,92.00
A03T,80.6,95.8,63.9,97.2,76.66,160.20
A04T,63.9,63.9,63.9,63.9,63.90,126.80
A05T,52.1,53.2,34.7,69.4,42.00,103.20
A06T,62.5,58.8,83.3,41.7,68.94,124.00
A07T,52.1,51.7,63.9,40.3,57.16,103.20
A08T,79.2,74.4,88.9,69.4,81.01,157.40
A09T,66.0,64.2,72.2,59.7,67.97,131.00
ds1b,58.5,56.3,76.0,41.0,64.68,116.00
ds1c,50.5,100.0,1.0,100.0,1.98,100.00
ds1g,53.0,56.5,26.0,80.0,35.61,105.00
Avg.,57.4,62.6,54.2,63.4,52.95,113.81
Std.,16.0,19.0,23.5,20.9,20.78,31.82
