Subject,Accuracy,Precision,Recall,Specificity,F1-score,Kappa
A01T,70.8,63.2,100.0,41.7,77.45,140.60
A02T,46.5,45.9,38.9,54.2,42.11,92.00
A03T,65.3,100.0,30.6,100.0,46.86,129.60
A04T,57.6,54.3,97.2,18.1,69.68,114.20
A05T,50.0,50.0,1.4,98.6,2.72,99.00
A06T,60.4,57.0,84.7,36.1,68.14,119.80
A07T,66.7,68.8,61.1,72.2,64.72,132.40
A08T,72.2,64.5,98.6,45.8,77.99,143.40
A09T,62.5,60.0,75.0,50.0,66.67,124.00
ds1b,52.0,51.0,100.0,4.0,67.55,103.00
ds1c,50.5,57.1,4.0,97.0,7.48,100.00
ds1g,81.0,77.2,88.0,74.0,82.25,161.00
Avg.,57.8,59.3,61.2,55.4,53.38,114.62
Std.,14.9,17.1,34.7,29.4,25.23,29.6
